#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
250.619023,0.000178,245.240958,82.472052,82.472052,899.367253
253.066477,0.000256,250.764113,83.962614,83.962614,925.702427
279.783286,0.000245,265.095273,85.194406,85.194406,967.275857
270.473228,0.000356,266.280469,88.453997,88.453997,972.486619
270.544981,0.000288,262.861718,88.027265,88.027265,970.600053
244.535879,0.000391,234.399599,92.492732,92.492732,927.259910
217.475033,0.000297,208.560795,90.957045,90.957045,884.506520
234.871974,0.000274,213.080464,96.587183,96.587183,917.543339
218.437128,0.000284,206.363110,94.589553,94.589553,891.149755
208.371336,0.000320,197.218954,92.846550,92.846550,885.323916
200.771886,0.000273,190.456128,96.023472,96.023472,882.004830
197.907740,0.000321,193.116830,93.651864,93.651864,881.392660
200.372944,0.000312,183.913328,95.880350,95.880350,897.107308
169.669424,0.000290,160.299643,97.462012,97.462012,838.480703
165.156399,0.000188,147.939310,96.453707,96.453707,819.710404
122.757175,0.000235,110.862560,96.982758,96.982758,751.082504
151.975774,0.000434,132.096027,98.724790,98.724790,944.132611
134.644088,0.000252,128.510589,98.042711,98.042711,802.651570
143.292969,0.000282,131.490906,98.856270,98.856270,825.262821
150.387116,0.000187,129.833577,96.265783,96.265783,830.304046
151.393083,0.000185,148.702616,97.533537,97.533537,846.365618
178.485824,0.000225,157.294257,96.664571,96.664571,884.462934
144.798409,0.000317,131.127275,108.253461,108.253461,920.282537
169.738359,0.001070,151.978880,98.865388,98.865388,900.043684
169.305230,0.000297,155.086454,102.442305,102.442305,973.831375
196.739972,0.000301,173.892779,102.714724,102.714724,945.232131
236.056734,0.000413,230.154075,102.893167,102.893167,1051.242121
272.968567,0.000573,271.527874,102.407615,102.407615,1134.646308
299.778048,0.000229,300.554334,102.673596,102.673596,1179.482493
313.031319,0.000374,311.342354,110.519942,110.519942,1229.781104
302.933616,0.000423,290.641065,105.424165,105.424165,1204.360746
338.732219,0.000326,341.150567,127.063984,127.063984,1441.024243
332.311175,0.000517,326.784955,111.063591,111.063591,1299.570288
338.808811,0.000333,344.217141,121.387143,121.387143,1387.830921
353.290772,0.000229,361.653187,124.623985,124.623985,1390.774558
330.520467,0.000226,339.569281,121.710592,121.710592,1416.624076
325.504085,0.000276,334.867713,153.419807,153.419807,1419.839876
276.570530,0.000236,273.678280,129.247421,129.247421,1248.869090
249.427402,0.000298,243.456147,119.032971,119.032971,1187.419506
270.574297,0.000359,248.641269,145.822442,145.822442,1256.593626
232.416672,0.000285,222.174762,118.266781,118.266781,1158.843016
207.824030,0.000572,200.550714,121.932255,121.932255,1134.930821
219.223559,0.000190,207.480474,116.162314,116.162314,1132.389521
225.327178,0.000278,210.375064,115.203982,115.203982,1120.457713
227.724779,0.000240,207.739686,120.445456,120.445456,1132.382889
