#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
188.271977,229,1,0,65774
214.955267,230,1,0,66064
185.581098,231,1,0,66334
209.145442,232,1,0,66613
222.229424,233,1,0,66989
186.735565,234,1,0,67375
183.954978,235,1,0,67745
184.389526,236,1,0,68040
185.933825,235,3,0,68261
191.368480,235,4,0,68460
211.300793,233,7,0,68628
185.936858,231,10,0,68802
192.529231,234,8,0,68996
188.228983,242,1,0,69239
207.973692,243,1,0,69520
221.418316,244,1,0,69843
200.285130,245,1,0,70157
197.492583,246,1,0,70466
223.906610,247,1,0,70700
198.461708,248,1,0,70903
238.555321,249,1,0,71052
202.226586,250,1,0,71234
201.270454,251,1,0,71432
200.557366,252,1,0,71658
202.963973,253,1,0,71930
218.686924,254,1,0,72186
207.059469,255,1,0,72508
202.069274,256,1,0,72848
211.449381,257,1,0,73157
205.355323,257,2,0,73393
223.532816,257,3,0,73592
228.246521,256,5,0,73790
233.830110,261,1,0,74026
210.085155,262,1,0,74176
233.783779,263,1,0,74398
224.279882,264,1,0,74691
239.734436,265,1,0,74978
213.493965,266,1,0,75287
242.266478,267,1,0,75598
241.819693,268,1,0,75922
222.136297,269,1,0,76253
220.149546,270,1,0,76575
224.090594,271,1,0,76907
227.125329,272,1,0,77236
221.950958,-1439549696,0,-1289846816,-1353617440
224.155215,21910,0,21910,21910
