#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
19.740139,0.812379,276.991117,20.376454,20.376454,977.494427
19.293862,0.507710,426.865684,24.265268,24.265268,928.110266
11.953658,0.668670,281.284746,19.381508,19.381508,591.476691
13.587093,0.709818,1025.532164,19.910082,19.910082,1345.155181
17.807762,1.052869,735.169126,17.286668,17.286668,977.647484
10.776922,1.278256,674.506528,14.248750,14.248750,1018.720268
10.772561,1.803108,671.294013,21.509118,21.509118,1048.658196
7.163446,9.074280,549.130612,20.812624,20.812624,942.142037
6.970459,0.642260,642.825271,19.546593,19.546593,905.689533
7.445492,0.609157,987.910206,7.991542,7.991542,1098.594377
13.700171,1.154127,995.780944,12.384931,12.384931,1210.646205
13.691959,1.503140,1138.525818,9.508869,9.508869,1314.399401
12.692708,1.734116,1237.568197,18.324507,18.324507,1575.583929
12.165148,1.575290,1174.033751,13.726777,13.726777,1531.301061
8.508315,1.241055,859.307584,15.699431,15.699431,1238.883821
10.999526,1.654374,1167.915636,34.984914,34.984914,1596.716786
10.413503,2.183707,1255.796856,23.798860,23.798860,2286.696919
9.250896,1.923570,1322.798388,18.412104,18.412104,2262.486980
9.311044,1.812470,1475.050523,23.349437,23.349437,1857.437124
10.503431,1.713896,1583.764840,14.669906,14.669906,2637.660923
15.220648,2.154854,1549.020425,24.894987,24.894987,1911.866896
8.704691,1.982492,1343.390226,20.285404,20.285404,2156.167745
7.749256,1.189999,1269.183045,0.000000,0.000000,1278.122975
7.415988,1.054158,1181.812795,0.000000,0.000000,1190.283878
4.859002,1.192117,722.278434,12.411398,12.411398,1139.302935
5.140351,0.969375,1114.329091,0.000000,0.000000,1120.440847
5.595390,1.449354,1122.815749,0.000000,0.000000,1129.861278
4.784248,1.057568,569.048116,16.931594,16.931594,793.620080
3.455293,1.573512,722.478536,0.000000,0.000000,727.508043
19.213458,0.917390,533.612384,2.803221,2.803221,722.319968
2.670948,0.741129,775.457864,0.000000,0.000000,778.870516
3.131655,0.649295,738.353473,0.000000,0.000000,742.134911
9.640259,0.557329,619.406846,3.368854,3.368854,710.003727
3.377204,0.580867,663.793768,2.403868,2.403868,678.038857
19.080218,0.597138,503.198761,2.550735,2.550735,671.245767
2.493217,0.565454,229.403923,1.425318,1.425318,257.271672
4.059258,0.402843,243.968875,1.958057,1.958057,273.425157
12.242700,0.749903,188.771129,1.769745,1.769745,232.986427
4.992524,0.602645,331.255987,1.131735,1.131735,362.704264
4.880169,0.820726,515.375550,3.009028,3.009028,563.711657
2.949594,0.981074,590.194069,4.547186,4.547186,693.124771
3.270241,1.287623,851.231687,3.187547,3.187547,900.063956
9.414664,1.091497,532.670131,26.176174,26.176174,993.236873
16.545070,1.868300,827.293871,32.669371,32.669371,1188.097443
14.000202,1.243783,1231.038819,16.494875,16.494875,1591.340643
12.722874,1.773101,1210.018093,27.446912,27.446912,1540.900575
9.308584,1.344617,722.439058,18.684494,18.684494,1161.960549
16.416993,1.796472,843.213589,18.454335,18.454335,1302.922862
14.146544,2.672110,919.112938,32.855712,32.855712,1424.163895
17.417180,1.503937,1228.396548,26.302375,26.302375,2273.671603
