#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,574.025673,0.000000,0.000000,1436.698021,1390.702225,0.301393,576.610671
0.000000,0.000000,498.389981,0.000000,0.000000,1442.917601,42.700935,0.294409,5702.406872
0.000000,0.000000,460.832147,0.000000,0.000000,100.902664,34.149155,0.319356,583.039489
0.000000,0.000000,462.676861,0.000000,0.000000,82.977446,35.539648,0.295678,561.635850
0.000000,0.000000,461.234841,0.000000,0.000000,77.783938,34.729357,0.042075,579.679482
0.000000,0.000000,467.358422,0.000000,0.000000,75.829545,32.721061,0.270687,3296.687118
0.000000,0.000000,477.098185,0.000000,0.000000,79.078234,33.382111,0.038794,1964.443519
0.000000,0.000000,479.198937,0.000000,0.000000,79.946874,33.470469,0.236033,615.995441
0.000000,0.000000,462.663893,0.000000,0.000000,78.475446,32.808547,0.238967,582.865867
0.000000,0.000000,463.190078,0.000000,0.000000,82.939002,33.013471,0.037549,577.106420
0.000000,0.000000,462.215595,0.000000,0.000000,82.521721,32.215958,0.286576,572.476073
0.000000,0.000000,462.959885,0.000000,0.000000,83.489435,33.046080,0.038684,576.750060
0.000000,0.000000,460.625436,0.000000,0.000000,81.488497,32.193362,0.228300,575.572213
0.000000,0.000000,460.521778,0.000000,0.000000,78.578333,32.574856,0.215689,573.283120
0.000000,0.000000,460.569676,0.000000,0.000000,76.221853,29.196207,0.245373,577.956978
0.000000,0.000000,462.377198,0.000000,0.000000,74.504382,44.339117,0.274247,578.704260
0.000000,0.000000,462.806654,0.000000,0.000000,75.417683,29.574572,0.036491,580.546590
0.000000,0.000000,460.278168,0.000000,0.000000,75.775425,33.342264,0.228724,575.347878
0.000000,0.000000,470.956382,0.000000,0.000000,76.608158,30.778268,0.249293,583.429337
0.000000,0.000000,461.358178,0.000000,0.000000,80.449488,30.974488,0.209751,568.215332
0.000000,0.000000,477.264939,0.000000,0.000000,81.153939,29.743349,0.333845,598.032803
0.000000,0.000000,461.019412,0.000000,0.000000,79.377878,28.526718,0.213948,567.246440
0.000000,0.000000,469.673711,0.000000,0.000000,79.884651,28.442996,0.228408,580.145575
0.000000,0.000000,461.407594,0.000000,0.000000,78.689018,29.669772,0.264076,570.272646
0.000000,0.000000,459.914004,0.000000,0.000000,79.442036,28.463191,0.226355,572.671985
0.000000,0.000000,473.951310,0.000000,0.000000,76.306437,25.379567,0.245459,586.371601
0.000000,0.000000,464.000042,0.000000,0.000000,76.275111,28.795411,0.244308,573.363391
0.000000,0.000000,463.220730,0.000000,0.000000,72.935552,26.907430,0.026638,572.934089
0.000000,0.000000,484.169209,0.000000,0.000000,74.486718,29.226981,0.250940,594.207206
0.000000,0.000000,471.747583,0.000000,0.000000,77.637748,30.206168,0.222953,581.071299
0.000000,0.000000,466.784762,0.000000,0.000000,77.716377,29.034225,0.019961,569.789115
0.000000,0.000000,648.935276,0.000000,0.000000,79.721482,26.690571,0.312318,755.674523
0.000000,0.000000,463.809960,0.000000,0.000000,83.437345,27.895277,0.019634,564.783525
0.000000,0.000000,471.650337,0.000000,0.000000,80.727371,27.170197,0.334566,576.777859
0.000000,0.000000,461.654250,0.000000,0.000000,77.820961,26.750214,0.021111,570.790282
0.000000,0.000000,460.983614,0.000000,0.000000,76.509688,26.446020,0.251563,568.837280
0.000000,0.000000,463.976158,0.000000,0.000000,74.301651,27.058551,0.306165,571.735310
0.000000,0.000000,470.258169,0.000000,0.000000,72.656352,28.737414,0.253453,582.826359
0.000000,0.000000,462.541760,0.000000,0.000000,73.181944,25.979005,0.027944,571.897327
0.000000,0.000000,461.580685,0.000000,0.000000,74.953199,28.874137,0.246992,567.492587
0.000000,0.000000,468.199758,0.000000,0.000000,75.761496,30.940774,0.240999,572.509194
0.000000,0.000000,463.205152,0.000000,0.000000,76.117843,29.357808,0.257180,565.998239
0.000000,0.000000,464.075808,0.000000,0.000000,76.531373,31.008477,0.029622,566.847212
0.000000,0.000000,461.675378,0.000000,0.000000,76.957530,32.551243,0.232367,562.212292
0.000000,0.000000,461.645964,0.000000,0.000000,77.117624,31.347945,0.209652,566.743875
0.000000,0.000000,461.659211,0.000000,0.000000,74.905402,29.948503,0.041279,569.638288
0.000000,0.000000,464.572590,0.000000,0.000000,74.926212,31.266600,0.226492,571.468755
0.000000,0.000000,461.172459,0.000000,0.000000,76.633019,31.048991,0.032597,569.922449
0.000000,0.000000,460.173084,0.000000,0.000000,77.644371,30.328289,0.229740,571.153546
0.000000,0.000000,461.908405,0.000000,0.000000,77.095726,34.329538,0.039479,571.741166
0.000000,0.000000,461.453812,0.000000,0.000000,77.805758,31.701458,0.250001,567.718824
0.000000,0.000000,461.128348,0.000000,0.000000,84.924355,35.245653,0.033430,568.705574
0.000000,0.000000,461.988491,0.000000,0.000000,92.090953,35.931626,0.241714,570.903301
0.000000,0.000000,461.982652,0.000000,0.000000,89.290218,45.639715,0.068672,571.528359
0.000000,0.000000,469.301003,0.000000,0.000000,81.523059,35.723280,0.219832,581.970609
0.000000,0.000000,464.106674,0.000000,0.000000,85.061304,34.808357,0.042970,574.989653
0.000000,0.000000,465.619136,0.000000,0.000000,87.034726,35.544927,0.247869,587.119224
0.000000,0.000000,467.369505,0.000000,0.000000,81.930212,32.261399,0.048799,596.855531
0.000000,0.000000,462.177611,0.000000,0.000000,84.026023,32.285484,0.224908,598.456382
