#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
4.695275,1.162572,1234.611381,8.356991,8.356991,1403.474570
2.934026,0.756195,734.442096,6.488693,6.488693,1143.776805
3.741079,1.302470,1403.554249,21.347547,21.347547,1618.203187
4.280860,1.170699,740.717361,18.871507,18.871507,1212.014867
5.921619,1.358449,1703.763351,10.488623,10.488623,1906.103865
24.881378,1.009152,1849.260769,14.473985,14.473985,2278.869500
6.796269,1.400211,945.357945,16.018679,16.018679,1739.330711
7.969012,2.248977,830.216730,33.209966,33.209966,1618.227251
6.386412,2.210218,788.018759,23.885434,23.885434,1828.001451
20.656568,1.900563,742.066534,23.300724,23.300724,1652.402135
7.241217,2.086426,711.331309,22.961708,22.961708,1596.435445
6.430516,1.645731,592.334956,38.209975,38.209975,1575.574693
7.674381,1.409840,538.431483,37.791448,37.791448,1532.781033
8.797622,1.364017,474.386828,29.465395,29.465395,1462.973465
10.587283,1.166433,536.328855,17.254492,17.254492,1404.602978
11.008959,1.314951,611.426484,33.197686,33.197686,1436.966400
9.291493,1.163303,601.039972,23.695872,23.695872,1407.345877
10.292573,1.559437,1775.354954,38.168213,38.168213,2563.419690
5.704417,1.118011,2053.310159,44.666127,44.666127,2777.823336
20.882772,2.367448,1793.196186,12.388500,12.388500,2388.981242
4.199613,2.393610,1806.426266,8.447240,8.447240,2511.176083
5.211259,3.059808,1534.731339,6.334168,6.334168,1649.469739
9.059838,4.053464,1411.845883,4.343939,4.343939,1534.124918
7.482459,2.582210,1229.717079,1.973154,1.973154,1298.171307
6.678692,2.641017,1216.837175,3.443059,3.443059,1289.914610
3.973869,2.197349,1007.090280,7.306310,7.306310,1217.123356
2.826856,2.907130,683.405895,3.099524,3.099524,917.750042
2.229465,1.908506,619.468813,1.476541,1.476541,672.974259
3.479998,1.791001,564.227326,1.066972,1.066972,597.166268
3.210642,1.296882,388.109665,1.115316,1.115316,417.653384
3.124501,0.767101,532.754921,0.984743,0.984743,558.038863
27.616001,0.601454,606.007289,0.952348,0.952348,659.032106
3.013520,0.570332,540.911568,0.982814,0.982814,570.973257
3.470666,0.512024,571.543261,1.734426,1.734426,614.054722
2.629268,0.475872,1.582640,0.555731,0.555731,29.196471
1.032618,0.225199,199.374886,0.609314,0.609314,216.002525
4.807991,0.290887,159.937829,0.566827,0.566827,182.021739
4.157414,0.434343,232.861100,0.832911,0.832911,267.384497
3.377922,0.300740,535.385609,1.370498,1.370498,571.024449
4.758670,0.710479,418.941802,1.028513,1.028513,456.531773
4.815391,0.761110,621.597773,1.329434,1.329434,1011.840761
2.302858,0.797545,487.066606,2.651630,2.651630,546.407058
6.456415,0.939145,669.977690,3.033178,3.033178,931.982855
3.522845,0.976860,608.476204,3.943878,3.943878,889.226448
3.871709,1.671051,712.038599,5.824175,5.824175,940.604546
3.326007,1.547239,775.796889,3.867851,3.867851,1000.278139
3.219104,1.351777,709.881354,22.139644,22.139644,918.600256
3.602671,1.329532,709.657908,3.871134,3.871134,891.774648
3.965826,1.201535,909.882356,3.470318,3.470318,989.165591
3.302469,0.800202,858.935262,1.575586,1.575586,913.839486
4.376239,0.787147,593.921630,1.623940,1.623940,643.352250
6.057203,1.086075,577.696872,2.508037,2.508037,646.250179
26.214436,1.036488,578.586875,1.206653,1.206653,641.340428
5.164158,1.044221,515.883557,1.762522,1.762522,585.594285
6.901370,0.758973,445.401591,1.479638,1.479638,503.476123
