#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
12.020476,2.476157,1124.831117,18.772677,18.772677,1244.800091
7.807268,2.927327,1109.496046,5.953469,5.953469,1213.001442
8.182327,2.366368,976.046379,17.461830,17.461830,1105.937789
5.283291,2.226221,1051.520372,8.301645,8.301645,1161.982498
6.203304,1.486201,1129.303414,8.896626,8.896626,1256.729288
3.788116,2.281352,1157.306098,10.609216,10.609216,1292.568944
4.574963,2.592084,740.728547,10.168152,10.168152,916.272332
20.235908,1.936955,614.126121,22.810962,22.810962,859.703956
17.002421,1.797588,480.528581,9.239107,9.239107,843.842451
5.844941,1.244491,503.705782,10.260626,10.260626,816.108274
5.989750,1.631593,433.260424,18.225126,18.225126,547.041821
16.524435,1.351071,421.479969,22.703541,22.703541,539.533764
5.219338,1.080870,333.693060,23.692870,23.692870,481.492437
7.867261,0.545725,246.795679,18.359276,18.359276,370.291001
20.843806,0.706329,180.706282,5.847048,5.847048,289.455330
9.414513,0.704160,130.083783,9.166328,9.166328,264.301116
9.217676,0.508821,45.461737,23.013492,23.013492,215.553202
8.187304,0.592997,976.327062,19.523314,19.523314,1122.369149
5.124351,1.363291,936.186966,7.217588,7.217588,1029.991236
5.944825,1.729986,858.739752,3.937821,3.937821,930.183902
5.290108,1.587847,173.009012,5.308794,5.308794,238.972773
