#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
0.269784,0.061839,0.094779,0.000000,0.000000,0.427947
0.222998,0.113924,1.762441,0.003625,0.003625,2.106498
1.514711,0.085233,1.786380,0.125507,0.125507,13.652672
3.414888,0.187962,3.936175,0.664313,0.664313,26.320934
4.428947,0.160246,7.472094,0.499630,0.499630,32.418628
5.286322,0.000119,6.522143,0.686964,0.686964,35.759940
8.200563,0.000193,8.863083,1.001354,1.001354,39.842808
4.925110,0.000227,12.006616,0.876569,0.876569,38.501289
4.790418,0.000581,6.961077,0.740571,0.740571,32.925987
4.943325,0.000187,7.627058,0.571831,0.571831,34.281625
4.800555,0.000257,14.388328,0.808803,0.808803,39.567729
6.379753,0.000153,8.681374,1.358772,1.358772,36.084755
4.607239,0.000228,11.987713,0.670247,0.670247,34.759624
4.490494,0.000192,11.821449,0.620596,0.620596,32.581549
4.385800,0.000187,9.858170,0.615133,0.615133,36.104928
4.223083,0.000111,5.533960,0.817791,0.817791,31.716747
3.894763,0.000985,16.534906,0.899660,0.899660,43.443812
4.146545,0.000119,5.090184,0.668799,0.668799,28.423785
2.420334,0.000098,3.846435,1.179675,1.179675,29.953463
3.050085,0.000169,5.759257,0.916647,0.916647,28.804736
2.908205,0.000149,3.628962,1.051620,1.051620,25.041503
2.643021,0.000155,3.608794,0.864190,0.864190,24.737088
2.561344,0.000092,3.156291,0.877197,0.877197,24.095189
2.157641,0.000106,2.949397,0.812535,0.812535,23.458173
1.349223,0.000106,1.893290,0.862972,0.862972,21.274620
1.148618,0.000156,1.762835,0.823203,0.823203,20.979902
1.312364,0.000158,1.648377,0.479025,0.479025,16.169306
1.387598,0.000190,1.885277,0.578262,0.578262,19.317589
1.202411,0.000113,1.644664,1.119277,1.119277,18.423214
0.997323,0.000088,1.729539,0.820624,0.820624,19.196700
0.991614,0.000109,2.953742,0.781059,0.781059,16.927565
1.391224,0.000181,2.141729,0.871020,0.871020,24.336408
14.684487,0.006475,32.532154,5.747381,5.747381,312.337486
1.784939,0.000167,3.617374,0.826463,0.826463,25.223789
2.214927,0.000168,2.740070,0.893822,0.893822,23.839363
2.255665,0.000097,2.972057,0.945288,0.945288,23.550243
2.903723,0.000138,5.323090,1.314318,1.314318,28.187392
3.622566,0.000177,7.668582,0.590715,0.590715,28.871700
4.478037,0.000134,3.831550,0.743492,0.743492,25.012689
4.568958,0.000130,5.131078,0.757502,0.757502,28.936884
4.081978,0.000085,13.243193,0.531245,0.531245,34.164797
4.712809,0.000192,7.316743,0.416416,0.416416,30.358147
8.418064,0.000156,4.907472,0.377181,0.377181,27.583896
3.781229,0.000133,3.997899,1.007309,1.007309,27.151187
3.958242,0.000321,7.006643,0.588229,0.588229,30.295048
2.770144,0.000197,5.514796,0.653519,0.653519,28.140166
7.228853,0.000251,3.420782,0.630111,0.630111,23.622551
3.230492,0.000075,3.679513,0.722752,0.722752,24.745902
1.974388,0.000119,3.114488,0.996297,0.996297,24.987071
3.100569,0.000228,4.757079,0.893767,0.893767,27.304241
40.198377,0.001084,32.062521,4.439939,4.439939,246.563720
2.753749,0.000194,4.433816,0.724811,0.724811,24.254433
2.931768,0.000259,7.560477,0.747971,0.747971,29.717695
2.987386,0.000115,3.622718,0.848098,0.848098,28.053760
2.544231,0.000119,3.241963,0.732835,0.732835,21.466928
2.343270,0.000201,6.626862,0.489775,0.489775,39.360283
2.376034,0.000088,3.753958,0.583920,0.583920,23.406302
4.119331,0.000350,3.559683,0.888363,0.888363,24.204298
2.597964,0.000226,7.913604,0.804251,0.804251,28.295365
3.236225,0.000191,4.154701,0.740319,0.740319,30.061076
2.926787,0.000186,11.035515,0.701436,0.701436,32.930739
2.714686,0.000115,4.581054,0.884447,0.884447,25.164459
3.156004,0.000106,4.972602,0.791855,0.791855,26.187535
3.190936,0.000118,13.594063,0.551499,0.551499,29.855206
3.506097,0.001693,4.390359,0.854599,0.854599,25.855204
42.017452,0.001988,103.643587,6.570629,6.570629,277.361168
4.028848,0.000231,14.371699,0.527696,0.527696,34.147123
16.006183,0.000364,4.757608,0.882364,0.882364,40.108382
7.094199,0.000248,4.491677,0.599295,0.599295,30.338905
4.424694,0.000165,4.928704,0.574114,0.574114,29.099966
3.604109,0.000135,4.950322,0.821893,0.821893,25.903732
3.255068,0.000130,4.788526,0.914836,0.914836,24.747414
2.178410,0.000120,2.646439,1.291897,1.291897,17.156836
3.017592,0.000145,11.977910,0.755450,0.755450,28.161917
2.612201,0.000147,2.928720,0.745207,0.745207,18.928262
1.709539,0.000092,1.867579,0.497879,0.497879,12.433236
2.056510,0.000110,2.838229,0.807770,0.807770,29.407972
1.679653,0.000092,2.060506,0.795248,0.795248,17.306686
1.252427,0.000095,1.516888,0.481195,0.481195,11.311667
1.283997,0.000161,1.632734,0.385773,0.385773,11.784348
1.069667,0.000092,1.338993,0.512023,0.512023,12.275837
0.932868,0.000110,1.080625,0.353956,0.353956,8.057436
0.955562,0.000113,0.917004,0.421123,0.421123,7.902600
0.709934,0.000066,0.881055,0.371051,0.371051,7.741032
1.127957,0.000087,1.480737,0.385497,0.385497,11.735833
1.131114,0.000190,1.668253,0.618128,0.618128,11.934866
1.241592,0.000189,1.713259,0.383383,0.383383,12.007187
0.959287,0.000096,1.382240,0.412535,0.412535,10.614130
1.322865,0.000111,1.674080,0.967545,0.967545,14.866493
1.329476,0.000087,1.775825,0.833141,0.833141,15.152112
1.661453,0.000141,2.191533,0.629842,0.629842,13.265024
