#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
21.186927,0.370776,124.591683,26.342979,26.342979,432.416899
24.566080,0.237939,111.578498,27.218654,27.218654,426.190426
22.474398,0.185554,112.721957,29.635901,29.635901,432.796582
18.255505,0.340081,107.227937,26.981938,26.981938,415.098105
19.988608,0.383554,101.521386,26.299506,26.299506,393.168363
24.914942,0.304098,107.916128,26.359443,26.359443,411.689556
16.667947,0.191399,73.671131,23.133259,23.133259,373.975804
21.669745,0.290807,81.453443,25.222563,25.222563,392.990588
17.369977,0.194189,110.706092,24.793198,24.793198,403.738790
18.158948,0.268103,99.685190,26.373613,26.373613,369.511278
26.899418,0.171179,109.085353,22.454188,22.454188,419.759933
22.178385,0.413171,101.667154,22.651927,22.651927,418.062230
19.775656,0.258207,101.182489,21.587216,21.587216,409.422167
20.030812,0.272400,80.744165,24.040035,24.040035,392.513716
16.741260,0.198921,69.150040,25.486584,25.486584,387.393909
22.086902,0.349768,100.454032,28.334233,28.334233,434.989570
24.151413,0.214229,110.096069,31.428670,31.428670,441.355123
24.058357,0.229233,105.330468,26.015913,26.015913,425.631691
