#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,565.082963,0.000000,0.000000,1469.632352,1399.185765,0.350215,567.512007
0.000000,0.000000,501.560280,0.000000,0.000000,1490.777556,43.850227,0.083811,2079.157083
0.000000,0.000000,467.992152,0.000000,0.000000,102.167824,36.417535,0.077343,591.436113
0.000000,0.000000,465.197112,0.000000,0.000000,84.041355,56.990796,0.406563,567.385690
0.000000,0.000000,508.359373,0.000000,0.000000,79.724277,46.770537,0.236100,630.330366
0.000000,0.000000,500.306937,0.000000,0.000000,75.829034,41.613211,0.097509,3370.962114
0.000000,0.000000,475.449521,0.000000,0.000000,79.260576,43.676132,0.083161,2011.541921
0.000000,0.000000,465.278295,0.000000,0.000000,80.296711,41.036457,0.086619,605.982240
0.000000,0.000000,462.404549,0.000000,0.000000,78.134253,42.762609,0.068746,605.557678
0.000000,0.000000,466.282114,0.000000,0.000000,80.053227,44.459996,0.078507,594.942333
0.000000,0.000000,482.952892,0.000000,0.000000,81.223693,44.944257,0.083370,602.259414
0.000000,0.000000,459.848695,0.000000,0.000000,81.469954,46.835986,0.068607,584.452699
0.000000,0.000000,471.706644,0.000000,0.000000,79.886021,44.458099,0.076358,595.442799
0.000000,0.000000,460.393816,0.000000,0.000000,75.576585,49.800664,0.078685,583.720394
0.000000,0.000000,469.390058,0.000000,0.000000,73.516011,44.493643,0.090825,595.794043
0.000000,0.000000,470.809695,0.000000,0.000000,71.267806,51.916225,0.311310,598.811968
0.000000,0.000000,465.364879,0.000000,0.000000,73.999149,150.069876,0.179323,595.329034
0.000000,0.000000,462.672091,0.000000,0.000000,76.186565,92.045637,0.100857,588.595975
0.000000,0.000000,466.035950,0.000000,0.000000,76.597072,97.173192,0.099634,593.323445
0.000000,0.000000,459.330436,0.000000,0.000000,80.192274,100.074885,0.115508,579.120420
0.000000,0.000000,473.470431,0.000000,0.000000,81.006093,100.111703,0.093238,598.533258
0.000000,0.000000,469.482716,0.000000,0.000000,81.387168,93.702635,0.101276,695.509679
0.000000,0.000000,466.898114,0.000000,0.000000,81.575718,97.388376,0.163258,637.066863
0.000000,0.000000,468.326594,0.000000,0.000000,81.134548,90.612633,0.074623,644.011101
0.000000,0.000000,469.115745,0.000000,0.000000,80.340898,94.340728,0.076277,651.381495
0.000000,0.000000,468.018127,0.000000,0.000000,78.128036,89.838485,0.100732,651.046292
0.000000,0.000000,468.482027,0.000000,0.000000,73.111711,90.098410,0.097287,645.609401
0.000000,0.000000,468.672347,0.000000,0.000000,71.866325,88.416672,0.107640,649.660042
0.000000,0.000000,484.503741,0.000000,0.000000,72.624930,99.162907,0.092988,658.201122
0.000000,0.000000,474.584418,0.000000,0.000000,76.234805,99.185999,0.112130,651.102685
0.000000,0.000000,473.722376,0.000000,0.000000,79.190697,97.884911,0.098482,643.547304
0.000000,0.000000,474.595140,0.000000,0.000000,82.674491,94.123587,0.096580,639.627733
0.000000,0.000000,475.710218,0.000000,0.000000,83.608573,96.532703,0.073661,637.845306
0.000000,0.000000,473.858212,0.000000,0.000000,81.706331,94.425800,0.096613,647.507324
0.000000,0.000000,463.102380,0.000000,0.000000,79.072570,93.550746,0.116950,640.522511
0.000000,0.000000,464.178132,0.000000,0.000000,78.324151,91.761422,0.095166,643.201494
0.000000,0.000000,468.788435,0.000000,0.000000,76.710200,91.583633,0.097554,647.536393
