#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
1.903112,0.057236,103.095598,0.000000,0.000000,105.058984
1.272145,0.078917,96.411638,0.002778,0.002778,97.769136
2.905479,0.089951,100.230176,0.108071,0.108071,111.516223
4.437575,0.188961,272.310445,0.495118,0.495118,290.760268
3.618905,0.281890,351.210421,1.806237,1.806237,393.409943
4.160835,0.808111,426.424094,0.693442,0.693442,463.899600
2.981533,1.301755,506.443412,0.880757,0.880757,798.882034
2.036955,1.578751,655.148867,1.046992,1.046992,934.444942
