#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
2.793037,0.864638,366.822072,2.195945,2.195945,415.701050
5.710073,1.066487,544.302068,4.246920,4.246920,733.001998
3.650740,0.966767,500.363926,3.435417,3.435417,683.003859
3.581382,1.353978,567.984285,3.111942,3.111942,792.569711
3.725366,0.942879,524.697274,2.442907,2.442907,587.210787
5.978131,1.288113,660.080804,5.060177,5.060177,784.693837
4.328858,1.536112,509.048657,4.051826,4.051826,569.045640
6.677882,1.241600,444.167992,13.981780,13.981780,747.868449
4.595135,1.388423,560.476739,5.703021,5.703021,773.088139
4.952748,1.447020,648.430979,5.690319,5.690319,828.061504
5.342668,1.468557,700.801112,6.934107,6.934107,882.551687
5.102731,1.440153,504.702257,5.581013,5.581013,836.577580
5.275350,1.911394,508.796101,5.271071,5.271071,844.894278
4.430856,1.688187,515.323689,17.783748,17.783748,819.839478
4.867915,1.378240,574.480378,7.270919,7.270919,854.921687
6.546948,1.526367,735.727423,18.993370,18.993370,880.175140
6.663762,1.577084,533.790527,9.006935,9.006935,824.937882
6.488968,1.530300,599.113408,9.241398,9.241398,860.916584
6.875891,1.775040,584.321869,18.522417,18.522417,838.360342
6.726127,2.292759,896.989043,5.005999,5.005999,1002.825603
12.778461,1.341668,585.169455,4.430328,4.430328,814.060323
5.125351,1.144193,723.098408,17.786970,17.786970,894.510040
4.973099,1.975619,564.632096,6.425619,6.425619,825.817514
4.984601,2.608593,686.210785,4.730771,4.730771,775.846835
4.591073,1.673294,645.037932,3.871722,3.871722,730.943921
3.139016,1.026906,765.796604,3.315434,3.315434,828.502343
4.042880,1.954774,430.930255,2.135303,2.135303,484.201655
6.108322,1.629424,530.443461,2.577504,2.577504,596.529501
5.571059,1.320768,449.698703,2.596871,2.596871,504.501677
6.250843,1.918663,532.465082,5.084663,5.084663,722.135059
3.664488,1.912885,683.758173,7.122593,7.122593,814.540346
3.392393,1.718016,570.231894,4.558116,4.558116,815.863089
4.397220,2.264591,691.724015,7.663117,7.663117,873.793210
4.153499,1.916256,576.869905,5.784572,5.784572,732.380228
2.725002,1.632092,460.277965,14.551978,14.551978,684.081911
3.951768,1.573102,505.273615,5.463252,5.463252,681.503955
3.246887,0.958624,339.266211,2.273799,2.273799,394.699033
6.184963,1.122573,478.603918,2.503403,2.503403,543.214984
